model,degree,plaintext_correct,encrypted_correct,total,plaintext_accuracy_percent,encrypted_accuracy_percent
mlp,2,95,95,100,94.9999988079071,95.0
mlp,4,96,96,100,95.99999785423279,96.0
mlp,6,98,98,100,98.00000190734863,98.0
mlp,8,99,99,100,99.00000095367432,99.0
mlp,10,99,,100,99.00000095367432,
mlp,12,98,,100,98.00000190734863,
mlp,14,98,,100,98.00000190734863,
mlp,16,98,,100,98.00000190734863,
mlp,18,98,,100,98.00000190734863,
mlp,20,98,,100,98.00000190734863,
lenet5,2,35,,100,34.99999940395355,
lenet5,4,71,,100,70.99999785423279,
lenet5,6,85,,100,85.00000238418579,
lenet5,8,95,,100,94.9999988079071,
lenet5,10,97,,100,97.00000286102295,
lenet5,12,98,,100,98.00000190734863,
lenet5,14,98,,100,98.00000190734863,
lenet5,16,98,,100,98.00000190734863,
lenet5,18,98,,100,98.00000190734863,
lenet5,20,98,,100,98.00000190734863,
