model,degree,mode,median_ms,q1_ms,q3_ms
mlp,2,plaintext,0.22637494839727879,0.22440770408138633,0.2291433047503233
mlp,4,plaintext,0.4058995982632041,0.40393928065896034,0.41048123966902494
mlp,6,plaintext,0.5569865461438894,0.5529822083190084,0.56102080270648
mlp,8,plaintext,0.7116985507309437,0.7002367055974901,0.7206808077171445
mlp,10,plaintext,0.8743159705772996,0.8698442252352834,0.8805567631497979
mlp,12,plaintext,1.0307260090485215,1.0278005502186716,1.040965085849166
mlp,14,plaintext,1.1896799551323056,1.1855251505039632,1.2018345878459513
mlp,16,plaintext,1.351577928289771,1.3398380251601338,1.3594382326118648
mlp,18,plaintext,1.498137367889285,1.4922298141755164,1.5056966221891344
mlp,20,plaintext,1.649215118959546,1.645171840209514,1.6603730618953705
lenet5,2,plaintext,0.4369160160422325,0.38276147097349167,0.5527089815586805
lenet5,4,plaintext,0.6117514567449689,0.5276166484691203,0.7993156905286014
lenet5,6,plaintext,0.7234516087919474,0.653639086522162,0.8976001408882439
lenet5,8,plaintext,0.818361877463758,0.8160783909261227,0.8211412350647151
lenet5,10,plaintext,0.9879501303657889,0.982810219284147,1.128166331909597
lenet5,12,plaintext,1.1629074579104781,1.1583460145629942,1.2352156918495893
lenet5,14,plaintext,1.3264609733596444,1.3217913219705224,1.3543819659389555
lenet5,16,plaintext,1.5012454241514206,1.4969282201491296,1.509165158495307
lenet5,18,plaintext,1.6636609798297286,1.6599816735833883,1.6699024708941579
lenet5,20,plaintext,1.8379599787294865,1.8348355079069734,1.8436837708577514
mlp,2,encrypted,201.0357735,171.51196825,258.21714799999995
mlp,4,encrypted,213.133403,188.8993375,282.2365485
mlp,6,encrypted,210.3155265,194.313556,248.93822425
mlp,8,encrypted,215.975338,200.150152,240.10404599999998
