model,degree,mode,peak_vram_bytes,peak_vram_gib
mlp,2,plaintext,1115136,0.0010385513305664062
mlp,4,plaintext,1166336,0.0010862350463867188
mlp,6,plaintext,1166336,0.0010862350463867188
mlp,8,plaintext,1166336,0.0010862350463867188
mlp,10,plaintext,1166336,0.0010862350463867188
mlp,12,plaintext,1166336,0.0010862350463867188
mlp,14,plaintext,1166336,0.0010862350463867188
mlp,16,plaintext,1166336,0.0010862350463867188
mlp,18,plaintext,1166336,0.0010862350463867188
mlp,20,plaintext,1166336,0.0010862350463867188
lenet5,2,plaintext,13836288,0.01288604736328125
lenet5,4,plaintext,15717888,0.014638423919677734
lenet5,6,plaintext,15717888,0.014638423919677734
lenet5,8,plaintext,15717888,0.014638423919677734
lenet5,10,plaintext,15717888,0.014638423919677734
lenet5,12,plaintext,15717888,0.014638423919677734
lenet5,14,plaintext,15717888,0.014638423919677734
lenet5,16,plaintext,15717888,0.014638423919677734
lenet5,18,plaintext,15717888,0.014638423919677734
lenet5,20,plaintext,15717888,0.014638423919677734
mlp,2,encrypted,6181224448,5.7567138671875
mlp,4,encrypted,6386745344,5.9481201171875
mlp,6,encrypted,10053287936,9.36285400390625
mlp,8,encrypted,10053287936,9.36285400390625
lenet5,2,encrypted_failed_setup,43670044672,40.6708984375
